"","GSM812988","GSM812989","GSM812990","GSM812991","GSM812992","GSM812993","GSM812994","GSM812995","GSM812996","GSM812997","GSM812998","GSM812999","GSM813000","GSM813001","GSM813002","GSM813003","GSM813004","GSM813005"
"SCML4",2.27425062664813,2.38853480565353,2.31622743475982,2.42725698760124,2.48067925570147,2.3254166384013,2.27165903435785,2.33765458189829,2.42195170155967,2.79023885102083,2.65921376471511,2.52830900956689,2.65677870385825,2.98969708067054,2.60718849355591,2.58848534501597,2.89140985401778,2.78654555304034
"CDC42-IT1",2.70504808641301,2.82883200977028,2.47847745173026,2.62520899231105,2.77379973397204,2.55712086043992,2.36275124646138,2.03207156568453,2.27266971803583,2.81317721037079,2.71733995146142,2.37419595564616,2.94181583720675,3.09278301407583,3.15440611776948,2.94514695596566,3.0228562046977,2.70751750231164
"WHAMMP3",2.31464635669514,2.50092363195086,2.29894477351672,2.4934044735317,2.91595832763897,2.29460575213657,2.74225310839693,2.79136671426432,2.09133898832979,2.89679980376932,2.98916335491284,2.47370484057922,2.8509092109604,2.96952793738074,2.92412535592124,2.85993179124517,2.98452719374758,2.7651856992387
"LINC01122",1.94877837028704,2.06199802728986,2.46080021802526,2.21167511999679,2.23055073106991,2.48044299176812,2.21128419219976,2.43578192225309,1.97084261326476,2.88119375801575,2.89718019906164,2.32238997189689,2.89707697542825,2.73583494393763,2.68797865818351,2.76123079889211,2.73316319797755,2.86119055293008
"CTC-338M12.4",2.33107113966719,2.45761188879401,2.51316806124331,2.42880863248654,2.24489649443999,2.23162317812167,2.46654855594719,2.13543078445721,2.21262567600376,2.66239966923663,2.73305731011227,2.56073500535097,2.82504353732863,2.78304610363568,2.7594260208045,2.67440641388507,2.77007018971179,2.59123610543222
"DNAJC3",2.49558184010556,2.47599977003086,2.5085939571502,2.91734696711461,3.02564136672742,2.15669949251003,2.1634356129941,2.14232030506327,2.65035558440711,2.90289611521584,2.94202254456481,2.81677847087014,3.08779835612707,3.17184091011909,3.10519983774596,3.1447735722595,3.00383445231693,2.78047934853344
"BTBD8",1.99517695235583,1.82225454095886,2.23085042046093,2.06406989977676,1.79868097266803,2.1582817615808,2.42392206418708,1.88903346316439,1.86418733348404,2.2600072833189,2.14999548550765,2.38728146968546,2.19343775631443,2.27276525432804,2.51416443549678,2.42699759182811,2.29743238375086,2.37557914167332
"AP000766.1",1.98024031708808,1.99290798120302,1.9978379449332,2.02976983748423,2.06432828668894,2.03799536887606,2.01216101433991,2.22981153852157,2.02282478643664,2.38657176477268,2.55230254878194,2.40966817851117,2.49935787074249,2.47107792068083,2.4898783951647,2.3911518040325,2.51502005053564,2.60216038600442
"AL158211.5",2.01528488893809,1.92875082215037,2.3973358582191,2.05773964865201,2.3574698038467,1.8780641590919,1.92498727878835,2.37804711165459,2.61913266149254,2.08858499119524,2.45617926848695,1.86722436730881,2.16644423136503,2.52962832451416,2.34447715229644,2.4401501236142,2.41311310389467,2.43770900094076
"RDH13",2.34595721980733,2.2714041610106,2.47926574846115,2.58755437723862,2.34300437983106,2.11252766617835,2.39415877486056,3.02882036435021,2.6349152253248,2.87967479505088,2.69516848019181,2.74881220316555,3.05379306604247,2.91976281692018,2.96879210928571,2.8040019151793,3.13393253624363,3.0469264921083
