"","x"
"1","DNAJB9"
"2","SLC16A3"
"3","ATP6V1C1"
"4","PPP2R1B"
"5","SDC3"
"6","E2F1"
"7","HCG4"
"8","TPM4"
"9","NMD3"
"10","LINC01770"
"11","IGSF5"
"12","RBM43"
"13","FENDRR"
"14","MRPL50"
"15","TMCO5B"
"16","GJC1"
"17","SPIRE2"
"18","SHANK2"
"19","CFAP100"
"20","IFT27"
"21","SFTA1P"
"22","CCDC158"
"23","WDR38"
"24","AC010247.1"
"25","STAT1"
