"","x"
"1","ZNF483"
"2","CDC42-IT1"
"3","LINC01122"
"4","VWDE"
"5","TRIM24"
"6","GJA1"
"7","RNF125"
"8","SPP1"
"9","AP1AR"
"10","FAT4"
"11","PRR16"
"12","ABI3BP"
"13","KBTBD7"
"14","SNHG14"
"15","ST8SIA4"
"16","STOX2"
"17","MIR3142HG"
"18","PIGM"
"19","BMPR1B"
"20","FIGN"
"21","GART"
