"","GSM813001","GSM813002","GSM813003","GSM813004","GSM813005","GSM813006","GSM813007","GSM813008","GSM813009","GSM813010","GSM813011","GSM813012","GSM813013"
"ERCC5",2.63403420292762,2.41108071685564,2.50683243815335,2.30070654350619,2.29279323185696,2.00972660920541,1.86090997419584,2.12300693482662,1.67293624842216,1.74408185283073,1.94336326405937,2.51513665159316,2.41572973662798
"MMP24OS",2.75692485818015,2.47834568186619,2.51123398084588,2.54932416396789,2.63172803451418,2.58123915372582,1.99439724886183,1.80517067791844,1.99246463535711,2.10339356719744,2.41157810037014,2.30918433827493,2.41816997410628
"SLC44A5",2.66153641720505,2.71675872799086,2.57443046804073,2.5904422566941,2.16576758183662,2.01237844689509,1.94456650472917,1.95726124593183,1.67525635501092,1.69763372368486,2.70480602382025,1.81162433442145,1.78310667716909
"LINC01770",2.74213581038475,2.48000396544526,2.41533466385037,2.67947244264511,2.55222753068472,2.67579245049852,2.90573116482526,3.02438723744773,2.70708254990486,3.02475600363316,2.88081911283278,3.01661505387536,2.95821591775003
"XIAP",2.28885611019444,2.51382800876941,2.57173796244278,2.47371081426147,2.45336454402129,2.53790656696496,2.13784251725437,2.04726790171118,2.1702997328827,1.82502847175465,2.23103942329407,2.05027008146204,2.11806198570689
"IGSF5",2.40901123673277,1.96052913207625,1.99722916977414,2.05450121618256,2.04556319033883,2.02431116769514,2.42382285712498,2.54494255464554,2.65713280075087,2.42388980247638,2.59972054935726,2.51667707108992,2.49872955858156
"RBM43",2.28052403426423,2.43416195331552,2.49235340033082,2.69810754871707,2.39074388997845,2.53087129574525,2.8610162153091,3.1177113310702,2.755584315862,2.65136035183125,3.04276584083049,3.0132498151372,2.77381745358518
"FENDRR",2.3097067664669,1.95829889477273,2.09437999430291,1.96346672551981,1.99714533016314,2.01514248969977,2.44926976888382,2.37332247206552,2.45658854602759,2.367306758041,2.4124948543512,2.33453995920881,2.33963796456549
"MCTP2",2.76072979268234,3.29088571530231,3.25585796365771,3.09866041355918,3.00165616461728,3.03341013836707,2.25714039455876,2.59279642685988,2.02298524314757,2.0598069144568,2.56717815615422,2.32117394538256,2.43749648775277
"AL139339.1",1.94625474835931,2.42202277177944,2.42478076702641,2.40030128633094,2.52034882322411,2.49684246741331,1.68570606984224,1.76127378282438,1.69442425140826,1.59245081796828,1.72784859022792,1.73122495745219,1.79648230060282
