"","x"
"1","STMN1"
"2","CNNM2"
"3","SNHG14"
"4","CCN1"
"5","EMP1"
"6","GJA1"
"7","FAH"
"8","PDE4B"
"9","CXADR"
"10","GNG11"
"11","LOX"
"12","MLF1"
"13","HPGDS"
"14","CSRP2"
"15","RNF125"
"16","EZR"
"17","FERMT2"
"18","SPP1"
"19","PDE4B"
"20","AL512380.2"
"21","LOX"
"22","CAMSAP2"
"23","PCIF1"
"24","SRR"
"25","C1QTNF4"
"26","NHSL1"
"27","FOSL2"
"28","NCBP3"
"29","PRTG"
"30","PSTK"
"31","SHISA2"
"32","FBXL3"
"33","ITIH4"
