"","GSM812988","GSM812989","GSM812990","GSM812991","GSM812992","GSM812993","GSM812994","GSM812995","GSM812996","GSM812997","GSM812998","GSM812999","GSM813000","GSM813006","GSM813007","GSM813008","GSM813009","GSM813010","GSM813011","GSM813012","GSM813013"
"ZNF217",2.32885886258536,2.64535281525709,2.89571113317527,2.85591516942421,3.00584009530745,3.04547407504278,2.99975652466804,2.72131403170925,2.94969684193795,3.13371755184564,3.03277670562454,2.99781681371971,3.09560243528241,3.12942563060565,3.25492278404547,3.25827920938278,3.19076481053191,3.20073566077631,3.15204530969101,3.04459975432301,3.16997581547276
"CXADR",2.91403403464036,2.36843228630547,2.42311100098272,2.24554342734373,2.37472652379264,2.9395523229337,3.09165735650793,2.61302072583038,2.57631920308857,2.36937797888902,2.3643564320732,2.54549052076387,2.16325203610238,2.39586209441861,2.06565433540131,2.37278135961214,2.27286973990421,2.22040518358229,2.40975967580866,2.10269239286475,2.30478028082056
"KDM6A",1.82793809284372,2.22658713605082,1.95142180819999,2.14288325841421,1.99695667322256,1.88631758057624,1.82623810287305,2.32876352358385,2.0069302651746,2.14615305861508,2.15817898135216,1.93755456583059,2.13719035936233,2.12805480202298,2.08913573666683,2.69092211801896,2.32729186208558,2.14594966688249,2.42429140936217,2.4032565407276,2.44143487545161
"TOPORS",2.70139247001378,2.89447050482969,2.96443171861588,2.72635605190446,2.91344552263567,2.24224609413097,2.49367653595855,2.76910693099249,2.69288377095546,2.95428882605725,2.7347369295749,2.92608616747882,2.91276998868636,3.16096099729146,2.93794827658039,3.07532023302477,2.93351711987054,3.01152712588599,2.9500680247193,3.04108734784179,3.1636315636017
"GNG11",2.40062590943952,2.40341498426029,3.09928847062292,3.01452080059979,2.92753393342631,2.98591405287962,2.77601447502001,2.78758792617384,3.24642693793304,3.05911711635974,3.03356818882265,2.92521597432853,2.89635129658174,2.83837195118904,2.31518449453089,2.7871536781407,2.34138777277172,2.47300185117378,2.44832402201795,2.23268868955151,2.36165131112403
"LOX",2.27443671254645,2.43925211112687,2.53910594234687,2.31914302672619,2.59145323019226,2.02435904423101,2.10146250010011,1.97656196975284,1.95682576078036,1.99236746532687,2.21454293975978,2.20814857945974,2.25828825596743,2.23191865235965,1.81261281492257,1.77508004845764,1.72770180164432,1.93333544271989,1.90491525236736,1.8650945212062,1.84751151832896
"MLF1",2.59471359015512,2.64527579551645,2.98846056316131,2.83352445797633,3.19977802083125,2.10202179444574,2.22458550496146,2.80167458086774,3.05909772941076,2.64507677038046,2.77524611931398,2.74984594194007,2.61268488193462,2.55626778531101,2.13013683970257,2.33015421671608,2.09223281360752,1.82995141741777,2.56252305835998,2.59839450679128,2.25978468468298
"FPGT",2.58861438540383,2.55527749743778,2.5041161872556,2.02574004148645,2.4399459460073,2.40348424670687,1.81279268989794,1.8272820795967,2.61718397495819,2.49592689608765,2.4423283454828,2.4802423696952,2.43806099025831,2.67522812205225,2.90441974118806,2.24812552873099,2.70552169471369,2.74359984263958,2.67967691190906,2.56678325609703,2.68089974461862
"PCDH17",2.75952232128985,2.33050419039152,2.63240991842404,2.50156958691929,3.04760486846175,2.85582549173284,2.33491575056545,2.81317823671649,2.2407963684704,2.73407832675137,2.64570857464587,2.53130709351904,2.57537090872636,2.82414136146232,3.08148944587076,2.94934835106937,3.04005409173636,2.8972541746835,2.95181977107451,2.99106047269649,2.84495020637655
"ASPA",2.2692022491373,2.00957004533518,1.94981690798498,2.1599262186787,1.89032022027522,2.68746521349124,2.1634356129941,2.00837142858361,2.02151135264477,1.89744374410543,1.98503111377233,2.13486392952744,1.78989114125858,2.30222018675582,2.09953894365597,2.31124966248995,2.29725745907948,2.58134088190401,2.38219660565556,2.66506617195839,2.36710067478756
"SELP",3.06288776749214,2.89167775995368,3.02570638299135,2.89943223719174,3.05372287476357,2.55040376021103,2.33492604484155,3.21748076169111,2.95737325434691,2.89099273160944,2.97245647376509,2.7625301776958,2.81581251139295,3.26978811891861,3.05661994208454,3.17790551727974,3.14394452872528,3.22671459236425,3.19579829136795,3.12303773577459,3.14848512392451
"HPGDS",3.19402904048505,3.2049163325375,2.85706394565162,2.6903815585322,2.73305058336649,2.80696204331784,2.97490150181711,2.61201484737041,2.47499613890573,2.53077418426327,2.50318740892459,2.61244073284026,2.52797186332306,2.38834799066018,1.81060268608822,1.92468976837741,2.23751354738876,2.32362658942854,2.35235684180685,2.52227876694978,2.4712824227602
"SCN9A",1.83955130344427,1.88895906480324,1.82218559348726,2.14457700101028,1.88826436511885,1.94747615359636,1.79146569897999,2.85329468231089,2.50322914173293,2.96724996438352,2.68176520679456,2.91261614414094,2.33922462826631,2.79768580183034,2.46191982565451,2.72848783932134,2.4162468723731,2.77442717100026,2.64700106640964,2.87024377474509,2.77259175590694
"CSRP2",3.40601427214165,3.43384892851882,2.65365142377287,2.73103201139487,2.35690891194691,2.72868177886501,2.75416362200939,2.53610065763041,2.47076616835386,2.48112117733906,2.32462399127475,2.55710321064716,2.46777168682017,2.17844503674677,2.14144685157854,2.71781392831043,2.14943302482914,2.071848802898,2.38549730300366,2.25376966951898,2.33614082540991
"RNF125",3.07420090377558,3.12448480450014,2.75876687170375,2.85197945451424,3.07515316787446,3.03273439636836,2.94877575432024,2.93915227796087,3.05783615232776,2.63428982917423,2.71285260352268,2.52516534162524,2.67563146212601,2.32265704876989,2.01369700247678,2.98400869231253,2.30327575306381,2.5723850006025,2.6573480071073,2.53172205230633,2.47289478799519
"EZR",2.9951530679765,3.03044944114052,3.03948726628848,3.19587087411378,3.08330222531327,2.71572361881596,3.00900294128303,3.15284862559037,3.16173518386944,2.7875346448315,2.76163122334545,2.93763327891576,2.75259468145669,2.65491231218067,2.60626454538726,1.96656778998122,2.68915264685592,2.51253537026181,2.72604711062688,2.76752302183521,2.65267188222602
"GOLGA8A",2.70504808641301,2.32967243375681,2.50803356876068,2.8400095570669,2.89316453052522,2.57662105527899,2.48057612117184,2.26464601761518,2.78709473739053,2.81078795209034,2.93476369172325,2.59676653990855,3.20326349944583,2.99054104700542,3.08153000836348,3.04210988098912,2.74360759742926,2.75152392146975,3.18082814219477,2.93720764982152,2.89681142629214
"FERMT2",2.61011157386384,2.60396857544551,1.83697641321142,1.93490217516656,2.07756808149477,2.81034602972272,2.79278207075324,2.46825068988913,2.1767405191906,1.72504832207326,1.78010974582071,2.06211929359512,2.04229272519064,1.89108511177036,1.90278905580945,1.79765716858396,2.00594246843113,1.69129384461581,2.11101661819775,1.78836498327482,1.8697600913495
"ANXA3",1.65485389840618,1.81138347971275,2.67400815650338,2.49618365217139,1.94976425194415,2.63473242024192,2.0873358785003,2.48763374985298,2.47271468564747,2.38796381420012,2.48572357962802,2.4931187783808,2.16289769885667,2.42604786442881,3.36536863623788,3.05537962431446,2.83624409883346,2.54441762694156,2.51154621898281,2.66990572505803,2.56220236406926
"SPP1",2.6921941697378,2.82953136078684,2.80082495546544,2.85237145190509,2.55243732559604,2.49517963958723,2.64540077756892,2.78360563086189,2.87069179202716,2.47904141500667,2.50818167445601,3.04639082590197,2.44871360000934,2.42314623899776,2.12013824109678,2.12172198264661,2.16878097169619,2.5254871079717,2.63279912265361,2.36528939960897,2.18860443216906
"KMO",2.13073454454092,2.02534849148142,2.28417237066584,2.15076729274641,2.18428823001384,1.87960030455653,2.2189934499319,2.08131951412473,1.97921467654652,2.28163386515082,2.03779651998998,2.2807485032829,1.93818716200242,2.31912568082832,2.58463400975554,2.67972059431645,2.57414923373542,2.4131407320014,2.30766574887223,2.32810516793318,2.17444988409685
"PDE4B",2.9372701837344,2.70378843002267,2.77240827594248,2.18798685792352,2.77739804204923,2.80598989918491,2.4175455172165,3.07630938945947,2.88894231490486,2.48170967911815,2.38043245766707,2.69642499871356,2.39936553686269,2.21640767994146,2.11774989063216,1.69127106124568,2.46229658749426,2.50458912307966,2.2321925723334,2.65233894814307,2.33775903846645
"FCER1A",2.78855897336966,2.48175797830529,2.96531201905645,2.95447011722902,2.81019115006737,3.01372701248456,2.65854329301941,3.13277160157921,3.17536778830331,2.35540621293029,2.01526169202551,2.2049454334866,2.66575339972541,2.93245449408273,3.14464698670794,2.90198402328717,3.19305573673491,3.27824485515224,2.93366459769728,2.97734349228088,3.10403886353556
"MEG3",2.39641380195314,2.31489631421058,2.34090830343257,2.44399458880675,2.98111102702438,2.48793416358963,2.34871880766115,2.38644953782286,2.72534766038855,2.90679518222144,3.03225021962666,2.51605978914902,2.77747736956034,2.78313266641757,3.31665407236631,2.94975640939065,2.70431292246419,3.13723020551685,2.99926024883099,2.93721650267871,2.80427147539349
"AL512380.2",2.6876163773319,2.75267067520895,2.58022678451198,2.6885874791487,2.93230367948976,2.68973727068751,2.49900163959874,2.68430371793596,2.62588812056844,2.72854095218143,2.8538523682722,2.75256192798537,2.96258048610235,2.62158328492442,2.27443253780553,2.18904141750183,2.14273331145759,2.39991699993229,2.80352815209674,2.43173312980821,2.38519880672751
"PPP2R2B",1.88074468140095,2.09551872098668,2.6127044592513,2.37079703003098,1.90516487004763,2.40221736353146,2.85630450524707,2.68008126138077,2.52865407768568,2.33238312960146,2.3872136311402,2.55598249704274,2.04765878281789,2.62407304671784,2.76783507089159,2.82670141757038,2.45910212192763,2.82524100395541,2.65642635066521,2.77715771829809,2.51981084375792
"LOX",3.04509011738089,3.12479428842542,3.04363759909544,3.03156317153535,2.53001579088269,3.00872531051068,1.93603331721354,3.01358981878134,3.10369938469382,2.76102330893104,2.88134472446817,2.78829189089776,2.91368141574114,2.95638865716423,1.94895362925822,1.84031135263798,1.94350992639141,1.97040642317169,1.87488586543069,1.89254607086705,1.88124995619336
"CAMSAP2",2.21127359985325,2.25311521829308,1.86395232242498,2.12567721804022,1.95547239136156,2.33024028368839,2.50649429710085,1.76311535600781,1.99684715414104,2.09175161792093,2.11024195565457,2.0345541595074,1.80231317799351,1.81384028279572,1.79926887523064,1.63275167001786,1.8501053066602,1.99633920945165,1.81251342232584,1.88597607655701,1.72718029827912
"RMI1",2.94927083495736,2.69055521216421,2.77497656062954,2.59387457712942,2.23446759801456,2.72366558559768,2.46932597692859,2.80564369566744,2.14523496086383,3.01718879705939,2.94636798886888,3.08207851260447,2.93747547180212,2.9591124479083,3.1535602192009,3.07585211081363,3.11357915834236,3.04667614354567,2.90987503947141,2.95000940360822,3.06533482982155
"AP1AR",2.26573362622119,2.24264244051633,2.3538124822873,2.73092792279551,1.83742781512549,2.16248816987318,1.98067281344212,2.07132128260915,2.55356104121196,2.61440125103125,2.61043337037751,2.53869980594616,2.61680817476794,2.67231082704391,2.89922745827221,2.32949793067522,2.52652859743741,2.64551398997128,2.66133734233086,2.6907788972993,2.73286005154156
"FAT4",2.23441547979951,2.07242381020951,2.26485285843335,2.35457176897626,2.04476410133207,2.01816661106886,2.17728701326176,2.14950879098304,2.60539097572399,2.58691626940844,2.45917794431736,2.60950795277142,2.69707008951499,2.72084579912247,2.46731496040807,2.62326405265393,2.43955266317486,2.53258776655328,2.56431523983499,2.71170986320943,2.72786644776063
"PCDH9",2.01172605089528,2.01927776023859,2.22165532505434,2.40562374483655,2.45481469715165,2.69430411383204,2.57126347748581,2.69372267600512,2.5543894390246,2.4402349232676,2.36329445101159,2.27791781659586,2.47689697338533,2.67572900561295,2.80495578747836,2.8672945567506,2.58227297580923,2.82641669393928,2.71875155322716,2.56898912370203,2.53967597886865
"TRHDE",2.0128385949067,1.82477844169189,1.88794047321019,1.78039535623108,1.93891656248843,1.9628169932136,1.94021562271178,1.81333628523993,1.84319356121564,1.71997982491231,1.77379804637849,1.81926188298329,2.04060105746376,2.60577853053074,2.04860413758267,2.02850691695071,2.26127866006085,2.8170167888657,2.51374035318843,2.64538740362306,2.60068556279852
"PRR16",2.17018947129081,1.82411121130861,2.43947447247316,1.70206970824947,1.92072890166359,2.36357088238267,1.69021682527998,1.94047612135372,2.89290311604578,2.72171453440998,2.54123901103678,2.17453713087832,2.39242761299182,2.9073246853234,2.79857688314895,2.93891580994321,2.84538647426762,2.71576402724909,2.84842864858749,2.80712737049519,2.84678593725127
"ABI3BP",2.06091274111319,2.06488388602165,1.9350406453182,1.75685164949618,1.8952708196405,2.01255830465385,2.0152734689662,1.91231300513716,1.77998498353069,2.02706980924547,2.52128923941446,1.946323629596,2.05062846097703,2.46518383380405,2.8247189819119,2.88149332581924,2.60582498271272,2.68884637402323,2.26687827069967,2.26615116531386,2.7402482438965
"PCIF1",2.83660101220412,2.79641688672678,3.12645272511314,3.26933422524648,3.13495885876962,2.82248685744125,3.0473963457571,3.10118478906449,3.0353671927374,2.97404411092881,2.86107558777571,2.93391457688744,3.00160284515842,2.81447105767101,2.6198730970779,2.50739532305207,2.34569640886156,2.63861025776727,2.8418904181382,2.82795759796452,2.67651746577175
"CCPG1",1.91769716394782,2.10582287644976,2.25716695200131,1.91996317686774,2.43733854727502,2.3903760358032,1.92274551175916,2.79547729934076,2.38450493015875,2.49016575977962,2.27250818760135,2.30833378727598,2.36761456978371,2.36363703862843,2.89083207328321,2.58282573046033,2.61359529982459,2.61967264886312,2.49636366105969,2.36091399734724,2.46195569950486
"SLC25A37",2.62511522178038,2.51210954423127,2.77119722978148,2.8052206286519,2.8204436790512,2.83685788670527,2.24619432755152,2.03442174959947,2.37718401058965,2.8690740524603,2.90770731450181,2.68249329521751,3.08624554186547,2.86782432743718,3.03371089509416,2.96237078031242,2.73472154103702,2.82553735674556,2.98988342035394,2.9799528893929,3.02757165056572
"SRR",2.10450843095157,2.17170482999671,2.51639594805604,2.34192029804003,2.63345353068642,2.11573510385224,2.20795343107029,2.11985248500681,2.85784547492506,2.51839665375416,2.27004357700301,2.63846221171008,2.32134368504482,2.04018616112472,2.06735028669871,1.97837650447228,2.07759029792316,2.02518191763247,2.10307996141612,2.23302506802515,2.24304233511511
"ABI3BP",2.33541236567512,2.34795416645909,2.94517636577367,2.98355840752181,2.39122028267805,2.08914658668242,2.20289911427345,3.21981764527047,2.96366129226672,2.8977159524346,3.12397353919514,2.82083760022534,2.7686901587981,3.07837175670963,3.15305169583606,3.18347508083754,2.75763412838414,3.2284505446976,2.99526669618637,3.03835856622752,3.12890621823872
"C1QTNF4",3.22634637163776,3.25291213585842,3.12707755354111,2.81405364890352,2.92912497019126,2.90624123672341,3.09057756485002,3.13034576800038,3.13830809367294,3.06522831223545,2.93293366990787,2.89985659198924,3.13161812723608,2.7765773671101,2.51765288659985,2.96136365685145,2.48527018320498,2.72834808220859,2.65081555794465,2.88272305558701,2.95576789859496
"YIPF5",2.54205841154219,2.67907265304587,2.78427070394329,2.59999517756696,2.41924681732822,2.83769544025959,2.12622092638515,2.61047211342772,1.98613820825517,2.88997070964157,2.80834077025724,2.82428945475783,2.82881271952455,3.02244540573972,2.82977042250322,3.04518170327213,2.92646252525883,3.01725312619678,2.93527944680597,2.78203106625917,2.92135768121639
"ZNRF3",2.54737455828075,1.97139051669963,2.69642477614196,2.52894907048738,1.95994445487975,2.68752164984455,2.30730814985695,2.40447727902548,2.6254117122525,2.83406434544255,2.8009454443722,2.65047943786383,2.61802223510738,2.72535616836876,2.99460705732585,2.50338155801463,2.75591241329722,3.07156996535901,2.72416652767412,2.76580416571974,2.82097888736626
"KBTBD6",1.89431683082568,2.15948322988007,2.08842284748386,1.77549350414877,1.90651044347417,2.44675010295177,2.05272818921654,1.87986374842051,2.34919540554022,2.61146844452112,2.4500353722716,2.65867421367738,2.57136809601953,2.57052850658301,2.68856532436109,2.66120757541935,2.45728171346764,2.81980815490773,2.45451125447508,2.43700662948774,2.66074497202869
"NHSL1",2.33256730876933,2.32418011448537,2.49938644708032,2.40813521117199,2.75219152652814,2.86707092722883,2.25751818854434,2.6882419152467,2.51717665415064,2.80595709800447,2.7787338236602,2.69626807720697,2.47663209591688,2.49710136055116,2.278955934152,2.04984611047726,2.08565137679531,2.1391672374311,2.27889380490623,2.50638816742755,2.37181949991031
"PURA",3.09143276275847,2.85403196352393,2.79535157298778,2.41530166862094,2.85641148445788,2.61283182325902,2.65250553951428,2.41290181264265,2.87844207075717,3.11081388987846,3.12693272578949,3.032723289983,3.0646583612538,3.06977158477849,3.30087724437031,3.33837577738349,3.05292012324094,3.06559798761467,3.06201685705702,3.05911971280634,3.05569231960782
"PCDH17",2.14856907439637,2.19461062765383,2.62918383607265,2.18707504915749,2.93495481048209,2.05415595607862,2.00451793144777,2.89468546574397,1.94542791689652,2.77131303394582,2.5136554712391,2.60412471188894,2.22876698337902,3.05302268620933,3.09041090224284,2.44384796447063,3.101965841161,2.18340203055904,2.86684409866204,3.09604084332166,3.03191476230787
"ITGA2",2.2533167591814,2.37757495468407,2.47740508060691,2.36164850409388,2.9266372904204,1.89681743122558,2.20009406048734,1.98266800209357,1.98081792475644,2.85603353544202,2.75627609557993,2.72433048618282,2.43055130389751,2.78770576497756,2.60626454538726,2.69913670920207,2.79959858452819,2.70438441932809,2.78439593379776,2.70102866139709,2.60965899990718
"CD274",2.48657357147901,2.54313405072242,2.1578372975868,2.28253173125803,2.01810356926842,2.65321047157175,2.20851413843687,2.12356489306187,2.09161623155614,2.73406206382622,2.57541665603656,2.50407117399266,2.35405969640806,2.57008277694816,2.5511972975501,2.9552184931954,2.62330994524056,2.66866922319211,2.55419442019192,2.56604892211417,2.99500776281563
"FOSL2",2.81658414295585,2.92903423636364,3.07988767948911,3.04726807623531,3.28685084496138,3.01993439909037,2.99064578205181,3.36793950410663,3.40537499911212,2.86747387032524,2.91547041988326,2.98953723798397,2.92659839229752,2.71586416500992,2.89768246157749,2.53408501613545,2.32768765156547,2.70465797832608,2.80527057765595,2.83797370967436,2.77724210974508
"C2orf88",2.28052433120399,2.22538692259271,2.77642176720618,2.54724794629835,2.72977679767162,2.30136756761281,2.30488685288155,2.39259851482693,2.86516323030949,2.61020679719643,2.64985569664063,2.5356299793661,2.49932572168584,2.87466970415889,3.00539244187084,2.83016079127743,2.97359621484336,3.01560942816108,2.70411656455191,2.7918676113417,2.86469071484985
"C16orf72",2.5847090450298,2.70434833931022,2.45692939059195,2.28487032123602,2.91985547017373,2.6254117122525,2.11571013837739,2.73100615292409,2.15215453240845,2.77184713429928,2.63813571530365,2.71418747893821,2.7151026360576,2.82869209887625,3.05446526991464,3.10199810277926,2.8135901529218,3.07754022502806,2.78926538634475,2.78911010535189,2.88875610526261
"XIRP2",2.12480189649392,1.99618769523552,1.94160778572887,1.90010708638818,1.58185302975019,2.0024051307529,2.37944407968393,2.04808514124898,2.59155041106403,2.31663177332176,2.23296277026576,2.2166041713109,2.22795543133755,2.5798764618556,2.75257134736049,2.3896623458475,2.6163508740588,2.97280990267105,2.32221314326559,2.09246624736414,2.51696065989882
"ST6GAL2",2.58003329725317,1.77519680585213,3.02925197231686,2.51974090929989,2.56917291539828,3.0192256219423,2.6180885041125,3.1597368672985,2.80691070970382,3.04825571910917,3.04236575131233,2.85461190350297,3.04263680876182,3.20671510691081,3.09807791149407,3.18775128072244,3.12246665214132,3.17789834357912,3.14142821301392,2.97779553757693,3.0717896080497
"PCDH17",1.98354345032983,2.06780768676653,2.26296377216002,2.31254465354023,2.86314831892551,2.29896324326486,2.32394386219877,2.73362961961351,1.97688012708376,2.71232042060886,2.66889042892325,2.29551909355746,2.24212747392815,2.97265019955102,3.11808923681077,3.13630033912328,2.66839147689582,2.73332960848685,2.89929804163578,2.93095339452961,2.88163408162586
"NCBP3",2.79686081219087,2.80187382371978,2.84389623483707,2.84433523211937,2.87523138083501,2.31485456097959,3.00278747758626,2.94000508439124,2.91025967968772,2.98798802632422,2.96036064922274,2.98775433702982,2.77504906611861,2.7222023806527,2.24893401154546,2.34619642060197,2.18404030142251,2.53819942575303,2.65864039935749,2.72909307949118,2.63819341947619
"PRTG",2.09345741259329,2.22570310856406,2.28753789753965,2.02249636252696,2.77227397662139,2.53794308440917,2.74872140989795,2.49739393310092,2.76490088212287,2.4989633573794,2.93350843312636,2.5510601893406,2.79859637458655,2.43144137461928,2.06271200440165,2.14523202566572,2.37730369293813,2.06644641781124,2.29875302597156,1.93787842947631,2.1015028410821
