up_YO,Gene name,down_YO,Gene name,up_YM,Gene name,down_YM,Gene name,up_MO,up_MO_geneName,down_MO
,,,,211174_s_at,,224973_at,,,,
,,,,211372_s_at,,225025_at,,,,
,,,,211881_x_at,,225066_at,,,,
,,,,211963_s_at,,225336_at,,,,
,,,,212034_s_at,,225888_at,,,,
,,,,212344_at,,225935_at,,,,
,,,,212411_at,,226981_at,,,,
,,,,212863_x_at,,228304_at,,,,
,,,,213048_s_at,,228453_at,,,,
,,,,213980_s_at,,228457_at,,,,
,,,,214205_x_at,,228623_at,,,,
,,,,214229_at,,229434_at,,,,
,,,,214562_at,,229571_at,,,,
,,,,215538_at,,230000_at,,,,
,,,,215675_at,,230209_at,,,,
,,,,215679_at,,230494_at,,,,
,,,,215830_at,,230609_at,,,,
,,,,216383_at,,230651_at,,,,
,,,,216427_at,,230681_at,,,,
,,,,216437_at,,230886_at,,,,
,,,,216603_at,,232376_at,,,,
,,,,216799_at,,232421_at,,,,
,,,,217057_s_at,,232461_at,,,,
,,,,217882_at,,232788_at,,,,
,,,,218320_s_at,,233314_at,,,,
,,,,218399_s_at,,233444_at,,,,
,,,,218639_s_at,,233473_x_at,,,,
,,,,218732_at,,233834_at,,,,
,,,,219110_at,,234681_s_at,,,,
,,,,219259_at,,234969_s_at,,,,
,,,,219422_at,,235023_at,,,,
,,,,219496_at,,235138_at,,,,
,,,,219706_at,,235318_at,,,,
,,,,219812_at,,235381_at,,,,
,,,,220040_x_at,,235555_at,,,,
,,,,220417_s_at,,236114_at,,,,
,,,,220729_at,,236153_at,,,,
,,,,221411_at,,236721_at,,,,
,,,,221820_s_at,,236934_at,,,,
,,,,221932_s_at,,237064_x_at,,,,
,,,,221936_x_at,,237218_at,,,,
,,,,222105_s_at,,237239_at,,,,
,,,,222591_at,,237246_at,,,,
,,,,223133_at,,237289_at,,,,
,,,,223413_s_at,,237418_at,,,,
,,,,223789_s_at,,237870_at,,,,
,,,,223895_s_at,,238130_at,,,,
,,,,224087_at,,238149_at,,,,
,,,,224118_at,,238697_at,,,,
,,,,225160_x_at,,238883_at,,,,
,,,,225425_s_at,,238954_at,,,,
,,,,225474_at,,239009_at,,,,
,,,,226017_at,,239130_at,,,,
,,,,226428_at,,239597_at,,,,
,,,,227064_at,,239606_at,,,,
,,,,227186_s_at,,239946_at,,,,
,,,,227734_s_at,,239955_at,,,,
,,,,227972_at,,240262_at,,,,
,,,,228434_at,,240554_at,,,,
,,,,228731_at,,240594_at,,,,
,,,,228898_s_at,,240759_at,,,,
,,,,229391_s_at,,241119_at,,,,
,,,,229639_s_at,,241348_at,,,,
,,,,229868_s_at,,241364_at,,,,
,,,,230989_s_at,,241471_at,,,,
,,,,231237_x_at,,241495_at,,,,
,,,,231602_at,,241834_at,,,,
,,,,231645_s_at,,241906_at,,,,
,,,,231692_at,,242059_at,,,,
,,,,231748_at,,242108_at,,,,
,,,,232032_x_at,,242427_at,,,,
,,,,232497_at,,242485_at,,,,
,,,,233289_at,,242642_at,,,,
,,,,233416_at,,242824_at,,,,
,,,,234068_s_at,,242876_at,,,,
,,,,235073_at,,242878_at,,,,
,,,,235682_s_at,,242901_at,,,,
,,,,235751_s_at,,242920_at,,,,
,,,,235819_at,,243020_at,,,,
,,,,236027_at,,243026_x_at,,,,
,,,,236549_x_at,,243058_at,,,,
,,,,236643_s_at,,243066_at,,,,
,,,,237890_at,,243109_at,,,,
,,,,238080_at,,243227_at,,,,
,,,,238399_x_at,,243235_at,,,,
,,,,238670_at,,243251_at,,,,
,,,,238835_at,,243261_at,,,,
,,,,240560_at,,243263_at,,,,
,,,,240935_at,,243338_at,,,,
,,,,241256_at,,243355_at,,,,
,,,,241486_at,,243387_at,,,,
,,,,241528_at,,243606_at,,,,
,,,,241960_at,,243656_at,,,,
,,,,243015_at,,243688_at,,,,
,,,,243060_at,,243731_at,,,,
,,,,243087_at,,243743_at,,,,
,,,,243126_x_at,,243774_at,,,,
,,,,243214_at,,243833_at,,,,
,,,,243219_x_at,,243840_at,,,,
,,,,243243_at,,243852_at,,,,
,,,,243247_at,,243869_at,,,,
,,,,243254_at,,243893_at,,,,
,,,,243259_at,,243912_x_at,,,,
,,,,243339_at,,243996_at,,,,
,,,,243373_at,,244053_at,,,,
,,,,243406_at,,244233_at,,,,
,,,,243427_at,,244550_at,,,,
,,,,243490_at,,244726_at,,,,
,,,,243518_at,,244845_at,,,,
,,,,243544_at,,32069_at,,,,
,,,,243723_at,,59631_at,,,,
,,,,243758_at,,AFFX-hum_alu_at,,,,
,,,,243784_s_at,,,,,,
,,,,243798_at,,,,,,
,,,,243812_at,,,,,,
,,,,243862_at,,,,,,
,,,,243961_at,,,,,,
,,,,244169_x_at,,,,,,
,,,,44654_at,,,,,,
,,,,AFFX-HUMISGF3A/M97935_3_at,,,,,,
