GO Term,Description,P-value,FDR q-value,Enrichment,N,B,n,b,Genes
GO:0048545,response to steroid hormone,5.51E-05,2.92E-01,16.3,880,12,18,4,"[LOX  -  lysyl oxidase, CASP9  -  caspase 9, apoptosis-related cysteine peptidase, FLT3  -  fms-related tyrosine kinase 3, SPP1  -  secreted phosphoprotein 1]"
GO:0014070,response to organic cyclic compound,6.60E-05,1.75E-01,10.19,880,24,18,5,"[LOX  -  lysyl oxidase, CASP9  -  caspase 9, apoptosis-related cysteine peptidase, ADA  -  adenosine deaminase, FLT3  -  fms-related tyrosine kinase 3, SPP1  -  secreted phosphoprotein 1]"
GO:1901361,organic cyclic compound catabolic process,3.15E-04,5.57E-01,10.86,880,18,18,4,"[AGO3  -  argonaute risc catalytic component 3, FAH  -  fumarylacetoacetate hydrolase (fumarylacetoacetase), ADA  -  adenosine deaminase, SPP1  -  secreted phosphoprotein 1]"
GO:1901575,organic substance catabolic process,3.43E-04,4.54E-01,5.64,880,52,18,6,"[AGO3  -  argonaute risc catalytic component 3, FUT2  -  fucosyltransferase 2 (secretor status included), FAH  -  fumarylacetoacetate hydrolase (fumarylacetoacetase), ADA  -  adenosine deaminase, GLA  -  galactosidase, alpha, SPP1  -  secreted phosphoprotein 1]"
GO:0071407,cellular response to organic cyclic compound,7.90E-04,8.39E-01,14.67,880,10,18,3,"[CASP9  -  caspase 9, apoptosis-related cysteine peptidase, FLT3  -  fms-related tyrosine kinase 3, SPP1  -  secreted phosphoprotein 1]"
GO:0044282,small molecule catabolic process,7.90E-04,6.99E-01,14.67,880,10,18,3,"[FUT2  -  fucosyltransferase 2 (secretor status included), FAH  -  fumarylacetoacetate hydrolase (fumarylacetoacetase), ADA  -  adenosine deaminase]"
GO:0042127,regulation of cell proliferation,9.15E-04,6.93E-01,4.73,880,62,18,6,"[AGO3  -  argonaute risc catalytic component 3, FUT2  -  fucosyltransferase 2 (secretor status included), HPGDS  -  hematopoietic prostaglandin d synthase, ADA  -  adenosine deaminase, FLT3  -  fms-related tyrosine kinase 3, NMB  -  neuromedin b]"
GO:0009056,catabolic process,9.15E-04,6.07E-01,4.73,880,62,18,6,"[AGO3  -  argonaute risc catalytic component 3, FUT2  -  fucosyltransferase 2 (secretor status included), FAH  -  fumarylacetoacetate hydrolase (fumarylacetoacetase), ADA  -  adenosine deaminase, GLA  -  galactosidase, alpha, SPP1  -  secreted phosphoprotein 1]"
